Response ID,Response Time,Q1: Respect,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Helpfulness,Q3 Select Index,Q3 Comment,Q4: Instructor Overall,Q4 Select Index,Q4 Comment,Q5: Organization,Q5 Select Index,Q5 Comment,Q6: Clear Expectations,Q6 Select Index,Q6 Comment,Q7: Content Usefulness,Q7 Select Index,Q7 Comment,Q8: Assignment Value,Q8 Select Index,Q8 Comment,Q9: Feedback,Q9 Select Index,Q9 Comment,Q10: Use of Technology,Q10 Select Index,Q10 Comment,Q11: Learning Climate,Q11 Select Index,Q11 Comment,Q12: Course Overall,Q12 Select Index,Q12 Comment,Q13: Expected Grade,Q13 Select Index,Q13 Comment,Q14: Required or Elective,Q14 Select Index,Q14 Comment,Q15: Workload,Q15 Select Index,Q15 Comment,Q16: Course Strengths,Q16 Select Index,Q16 Comment,Q17: Course Weaknesses,Q17 Select Index,Q17 Comment,Q18: Improvements to be Made,Q18 Select Index,Q18 Comment,Course,Term,Q1: Organization,Q3: Questions,Q4: Visual Presentation,Q5: Oral Presentation,Q6: Availability,Q7: Ability to hold Interest,Q8: Effectiveness,Q9: Attendance,Q10: Assigned Work,Q11: Printed Notes,Q12: Textbook,Q13: New Material,Q14: Assigned Work Amount,Q15: Hours Per Week,Q16: What instructor has done well,Q17: Improvements to technique or style,Q18: Course's strong points,Q19: Course's weak points,Q19 Select Index,Q19 Comment,Q20: Class atmosphere,Q20 Select Index,Q20 Comment,Q21: Other Comments,Q21 Select Index,Q21 Comment,Q1: Q1,Q2: Q2,Q3: Q3,Q4: Q4,Q5: Q5,Q6: Q6,Q7: Q7,Q8: Q8,Q9: Q9,Q10: Q10,Q11: Q11,Q12: Q12,Q13: Q13,Q14: Q14,Q15: Q15,Q16: Q16,Q17: Q17,Q18: Q18,Q19: Things Done Well,Q20: Improvements to be Made
718410,2020-03-29T14:08:30.275957-04:00,Strongly Agree,4.0,,Agree,3.0,,Agree,3.0,,Neutral,2.0,,Agree,3.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Agree,3.0,,Strongly Agree,4.0,,Neutral,2.0,,Agree,3.0,,Above 90,5.0,,Elective,1.0,,Less than 10 hours,1.0,,,,"- Flexibility with assignments, having 2 weeks to complete them gives the opportunity to ask questions and fit work around daily responsibilities
- The optional quizzes and quiz solutions available for self evaluation",,, ,,,,MATH 104,Winter 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726113,2020-03-31T11:38:54.168053-04:00,Strongly Agree,4.0,,Disagree,1.0,Most of the time i did not understand his explanations to the questions people asked ,Strongly Agree,4.0,He did try to help explain things to us and was always open to question but the explanations went over my head since he used a lot of technical jargon ,Agree,3.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Agree,3.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,80-90,4.0,,Required,0.0,,Around 10 hours,2.0,,,,,,,,,,,MATH 104,Winter 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722344,2020-03-30T11:21:48.002706-04:00,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Agree,3.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Agree,3.0,,Agree,3.0,,80-90,4.0,,Required,0.0,,Around 10 hours,2.0,,,,"The flexibility, as well as the lecture content online. Also, the professor was very easy to connect with online and to discuss course content with whenever I required clarification. ",,,"Sometimes the online videos have errors that make learning difficult, and it's confusing when this happens, as it's hard to differentiate if it's an error or if I had missed a step. ",,,Correcting errors in the lecture slides. ,MATH 104,Winter 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711133,2020-03-26T03:01:50.770831-04:00,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Agree,3.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,80-90,4.0,,Required,0.0,,Around 10 hours,2.0,,,,,,,,,,,MATH 104,Winter 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721119,2020-03-29T23:37:21.482458-04:00,Agree,3.0,,Agree,3.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,80-90,4.0,,Elective,1.0,,Around 10 hours,2.0,,,,,,,,,,"The teaching is fine. I just wish there weren't so many websites for this course. We have learn, Piazza, and crowdmark. It is just difficult to keep up with all of them. ",MATH 104,Winter 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703711,2020-03-23T06:55:35.226584-04:00,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,80-90,4.0,,Required,0.0,,Less than 10 hours,1.0,,,,,,,,,,,MATH 104,Winter 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703672,2020-03-23T00:58:28.501295-04:00,Agree,3.0,Funny Piazza post - loved it. ,Neutral,2.0,,Strongly Agree,4.0,"Actively engaged in trying to get students to work together. Though there wasn't much interaction, it was not his fault. ",Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Neutral,2.0,,Disagree,1.0,Limited feedback on Crowdmark - I really loved the debrief that was performed in Assignment 1. I wish there would have been more debriefing per assignment. ,Neutral,2.0,,Neutral,2.0,,Neutral,2.0,,70-80,3.0,,Elective,1.0,,Much less than 10 hours,0.0,,,,"- Funny instructor (very generous with the extensions)
- Individual pacing ",,,The content in the course sometimes were not updated - some mistakes in the course content which made it a bit confusing. ,,,,MATH 104,Winter 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716113,2020-03-29T11:12:12.420681-04:00,Agree,3.0,,,,,Agree,3.0,,,,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Neutral,2.0,,Disagree,1.0,I dislike online courses.,Agree,3.0,,80-90,4.0,,Required,0.0,,More than 10 hours,3.0,,,,,,,,,,,MATH 104,Winter 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737332,2020-04-03T15:51:43.485286-04:00,,,,Strongly Agree,4.0,,Strongly Agree,4.0,,Agree,3.0,,Agree,3.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Agree,3.0,,Neutral,2.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Above 90,5.0,,Elective,1.0,,Much less than 10 hours,0.0,,,,,,,,,,,MATH 104,Winter 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738418,2020-04-03T18:43:27.970499-04:00,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Strongly Agree,4.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,Agree,3.0,,80-90,4.0,,Elective,1.0,,Less than 10 hours,1.0,,,,,,,,,,,MATH 104,Winter 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
