Response ID,Response Time,Q1: Respect,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Helpfulness,Q3 Select Index,Q3 Comment,Q4: Instructor Overall,Q4 Select Index,Q4 Comment,Q5: Organization,Q5 Select Index,Q5 Comment,Q6: Clear Expectations,Q6 Select Index,Q6 Comment,Q7: Content Usefulness,Q7 Select Index,Q7 Comment,Q8: Assignment Value,Q8 Select Index,Q8 Comment,Q9: Feedback,Q9 Select Index,Q9 Comment,Q10: Use of Technology,Q10 Select Index,Q10 Comment,Q11: Learning Climate,Q11 Select Index,Q11 Comment,Q12: Course Overall,Q12 Select Index,Q12 Comment,Q13: Expected Grade,Q13 Select Index,Q13 Comment,Q14: Required or Elective,Q14 Select Index,Q14 Comment,Q15: Workload,Q15 Select Index,Q15 Comment,Q16: Course Strengths,Q16 Select Index,Q16 Comment,Q17: Course Weaknesses,Q17 Select Index,Q17 Comment,Q18: Improvements to be Made,Q18 Select Index,Q18 Comment
718410,2020-03-29T14:08:30.275957-04:00,Strongly Agree,4,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Neutral,2,,Agree,3,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,"- Flexibility with assignments, having 2 weeks to complete them gives the opportunity to ask questions and fit work around daily responsibilities
- The optional quizzes and quiz solutions available for self evaluation",,, ,,,
726113,2020-03-31T11:38:54.168053-04:00,Strongly Agree,4,,Disagree,1,Most of the time i did not understand his explanations to the questions people asked ,Strongly Agree,4,He did try to help explain things to us and was always open to question but the explanations went over my head since he used a lot of technical jargon ,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Required,0,,Around 10 hours,2,,,,,,,,,,
722344,2020-03-30T11:21:48.002706-04:00,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,80-90,4,,Required,0,,Around 10 hours,2,,,,"The flexibility, as well as the lecture content online. Also, the professor was very easy to connect with online and to discuss course content with whenever I required clarification. ",,,"Sometimes the online videos have errors that make learning difficult, and it's confusing when this happens, as it's hard to differentiate if it's an error or if I had missed a step. ",,,Correcting errors in the lecture slides. 
711133,2020-03-26T03:01:50.770831-04:00,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Required,0,,Around 10 hours,2,,,,,,,,,,
721119,2020-03-29T23:37:21.482458-04:00,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Around 10 hours,2,,,,,,,,,,"The teaching is fine. I just wish there weren't so many websites for this course. We have learn, Piazza, and crowdmark. It is just difficult to keep up with all of them. "
703711,2020-03-23T06:55:35.226584-04:00,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Required,0,,Less than 10 hours,1,,,,,,,,,,
703672,2020-03-23T00:58:28.501295-04:00,Agree,3,Funny Piazza post - loved it. ,Neutral,2,,Strongly Agree,4,"Actively engaged in trying to get students to work together. Though there wasn't much interaction, it was not his fault. ",Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Disagree,1,Limited feedback on Crowdmark - I really loved the debrief that was performed in Assignment 1. I wish there would have been more debriefing per assignment. ,Neutral,2,,Neutral,2,,Neutral,2,,70-80,3,,Elective,1,,Much less than 10 hours,0,,,,"- Funny instructor (very generous with the extensions)
- Individual pacing ",,,The content in the course sometimes were not updated - some mistakes in the course content which made it a bit confusing. ,,,
716113,2020-03-29T11:12:12.420681-04:00,Agree,3,,,,,Agree,3,,,,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Disagree,1,I dislike online courses.,Agree,3,,80-90,4,,Required,0,,More than 10 hours,3,,,,,,,,,,
737332,2020-04-03T15:51:43.485286-04:00,,,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
738418,2020-04-03T18:43:27.970499-04:00,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
729479,2020-04-01T17:21:12.985529-04:00,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,,,,,,,,,
