Response ID,Response Time,Q1: Q1,Q1 Select Index,Q1 Comment,Q2: Q2,Q2 Select Index,Q2 Comment,Q3: Q3,Q3 Select Index,Q3 Comment,Q4: Q4,Q4 Select Index,Q4 Comment,Q5: Q5,Q5 Select Index,Q5 Comment,Q6: Q6,Q6 Select Index,Q6 Comment,Q7: Q7,Q7 Select Index,Q7 Comment,Q8: Q8,Q8 Select Index,Q8 Comment,Q9: Q9,Q9 Select Index,Q9 Comment,Q10: Q10,Q10 Select Index,Q10 Comment,Q11: Q11,Q11 Select Index,Q11 Comment,Q12: Q12,Q12 Select Index,Q12 Comment,Q13: Q13,Q13 Select Index,Q13 Comment,Q14: Q14,Q14 Select Index,Q14 Comment,Q15: Q15,Q15 Select Index,Q15 Comment,Q16: Q16,Q16 Select Index,Q16 Comment,Q17: Q17,Q17 Select Index,Q17 Comment,Q18: Q18,Q18 Select Index,Q18 Comment,Q19: Things Done Well,Q19 Select Index,Q19 Comment,Q20: Improvements to be Made,Q20 Select Index,Q20 Comment
302063,2017-11-15T13:52:33.829218-05:00,(C),2,,(C),2,,(B),1,,(A) Excellent,0,,(C),2,,(B),1,,(D),3,,(B),1,,(C),2,,(C),2,,(D),3,,(D),3,,(C),2,,(C),2,,(B),1,,(B),1,,(C),2,,(B),1,,,,,,,
302829,2017-11-15T15:22:42.202351-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(A) Very Easy,0,,(A) Very little,0,,(A) Very useful,0,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
303975,2017-11-15T20:05:25.218403-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(E) Far too low	,4,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(B),1,,(A) Very Easy,0,,(A) Very little,0,,(E) Totally useless,4,,(A) Very useful,0,,(A) Very closely,0,,(B),1,,(B),1,,(A) All classes attended,0,,,,Interesting teaching style,,,Everything good
307733,2017-11-17T16:47:08.366888-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(B),1,,(D),3,,(A) Obviously enthusiastic & responsible,0,,(B),1,,(A) Very high,0,,(C),2,,(C),2,,(B),1,,(B),1,,(A) Very closely,0,,(D),3,,(B),1,,(B),1,,,,Professpr is very organized and explains the concepts well visually. Also enjoys teaching the subject.,,,"Giving a more intuitive, real world apllication to some of the concepts - or just using more general terminology when explaining certain theories - may help in understanding of this course. Sometimes the confusing words lead to an incomplete understanding of something that is very obvious when put plainly or into real world application"
304346,2017-11-15T22:45:55.095041-05:00,(B),1,,(C),2,,(B),1,,(B),1,,(B),1,,(B),1,,(C),2,,(A) Obviously enthusiastic & responsible,0,,(B),1,,(C),2,,(D),3,,(D),3,,(B),1,,(A) Very useful,0,,(B),1,,(D),3,,(B),1,,(A) All classes attended,0,,,,,,,
304108,2017-11-15T20:10:18.713373-05:00,(A) Organized,0,,(D),3,,(A) Excellent,0,,(A) Excellent,0,,,,,(C),2,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(D),3,,(C),2,,(E) Very Difficult,4,,(E) Very heavy,4,,(A) Very useful,0,,(B),1,,(D),3,,(A) Very valuable,0,,(B),1,,(A) All classes attended,0,,,,,,,Making quizzes more applicable to concepts on maple-TA assignments and textbook assigned questions 
307785,2017-11-17T17:24:34.159044-05:00,(A) Organized,0,,(B),1,,(B),1,,(B),1,,(A) Volunteering assistance with pleasure,0,,(A) Far too high,0,,(A) A great deal,0,,(B),1,,(B),1,,(B),1,,(E) Very Difficult,4,,(E) Very heavy,4,,(B),1,,(B),1,,(B),1,,(A) Very valuable,0,,(D),3,,(A) All classes attended,0,,,,Lots of examples help students understand the concepts and how to solve different problems.,,,"You answers are sometimes a bit complex and that confuses students. The course overall has difficult content and i think the professor should try to explain concepts in a very simple way, even if the explanation is not completely correct. The prof can later explain the concepts by its formal definition once the students have the basic idea."
303474,2017-11-15T17:37:12.816111-05:00,(B),1,,(C),2,,(B),1,,(C),2,,(B),1,,(B),1,,(C),2,,(C),2,,(C),2,,(B),1,,(D),3,,(D),3,,(C),2,,(D),3,,(C),2,,(C),2,,(C),2,,(A) All classes attended,0,,,,showed to be very patient and enthusiastic about his course.,,,Give out assignments that matches the actual difficulty of quizzes and exams. Overall just provide better practice.
304060,2017-11-15T20:08:11.014214-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(B),1,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(B),1,,(D),3,,(D),3,,(B),1,,(A) Very useful,0,,(D),3,,(E) Not valuable at all,4,,(C),2,,(A) All classes attended,0,,,,,,,pls stop going over time
305688,2017-11-16T15:30:09.706098-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(B),1,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(B),1,,(D),3,,(C),2,,(B),1,,(B),1,,(A) Very closely,0,,(D),3,,(B),1,,(A) All classes attended,0,,,,,,,
