Response ID,Response Time,Q1: Q1,Q1 Select Index,Q1 Comment,Q2: Q2,Q2 Select Index,Q2 Comment,Q3: Q3,Q3 Select Index,Q3 Comment,Q4: Q4,Q4 Select Index,Q4 Comment,Q5: Q5,Q5 Select Index,Q5 Comment,Q6: Q6,Q6 Select Index,Q6 Comment,Q7: Q7,Q7 Select Index,Q7 Comment,Q8: Q8,Q8 Select Index,Q8 Comment,Q9: Q9,Q9 Select Index,Q9 Comment,Q10: Q10,Q10 Select Index,Q10 Comment,Q11: Q11,Q11 Select Index,Q11 Comment,Q12: Q12,Q12 Select Index,Q12 Comment,Q13: Q13,Q13 Select Index,Q13 Comment,Q14: Q14,Q14 Select Index,Q14 Comment,Q15: Q15,Q15 Select Index,Q15 Comment,Q16: Q16,Q16 Select Index,Q16 Comment,Q17: Q17,Q17 Select Index,Q17 Comment,Q18: Q18,Q18 Select Index,Q18 Comment,Q19: Things Done Well,Q19 Select Index,Q19 Comment,Q20: Improvements to be Made,Q20 Select Index,Q20 Comment
484233,2018-11-21T16:06:28.378099-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(B),1,,(B),1,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(D),3,,(D),3,,(B),1,,(B),1,,(A) Very closely,0,,(B),1,,(B),1,,(A) All classes attended,0,,,,,,,
484322,2018-11-21T16:09:53.326563-05:00,(B),1,,(C),2,,(B),1,,(A) Excellent,0,,(C),2,,(D),3,,(C),2,,(B),1,,(B),1,,(B),1,,(D),3,,(E) Very heavy,4,,(B),1,,(A) Very useful,0,,(A) Very closely,0,,(E) Not valuable at all,4,,(B),1,,(A) All classes attended,0,,,,Knows what he’s talking about.,,,"Tell more jokes, engage the class better, be less awkward and more casual verbally."
484426,2018-11-21T16:14:23.072794-05:00,(B),1,,(B),1,,(A) Excellent,0,,(B),1,,(A) Volunteering assistance with pleasure,0,,(B),1,,(A) A great deal,0,,(B),1,,(A) Friendly & open,0,,(B),1,,(D),3,,(C),2,,(D),3,,(A) Very useful,0,,(A) Very closely,0,,(B),1,,(B),1,,(A) All classes attended,0,,,,,,,
484879,2018-11-21T16:43:35.514027-05:00,(B),1,,(A) Clear,0,,(B),1,,(B),1,,,,,(C),2,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(E) Very Difficult,4,,(E) Very heavy,4,,(D),3,,(A) Very useful,0,,(A) Very closely,0,,(B),1,,(B),1,,(A) All classes attended,0,,,,,,,
491553,2018-11-22T22:33:39.271791-05:00,(B),1,,(B),1,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(C),2,,(B),1,,(E) Totally useless,4,,(A) Very useful,0,,(C),2,,(E) Not valuable at all,4,,(B),1,,(D),3,,,,,,,
484336,2018-11-21T16:10:28.161222-05:00,(B),1,,(A) Clear,0,,(B),1,,(A) Excellent,0,,,,,(C),2,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(B),1,,(C),2,,(C),2,,(E) Totally useless,4,,(B),1,,(A) Very closely,0,,(C),2,,(B),1,,(A) All classes attended,0,,,,I thought that you did a great job of preparing us for quiz's and the midterm. The material was all familiar from class.,,,"Occasionally, you rush and the lecture becomes a little confusing."
484255,2018-11-21T16:07:32.627175-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(D),3,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(D),3,,(C),2,,(A) Very useful,0,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,I really liked how you spent time to go through the course materials thouroughly. Thank you for the great term!,,,Not a single thing :)
484244,2018-11-21T16:07:08.515443-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(D),3,,(D),3,,(B),1,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
484296,2018-11-21T16:09:02.333585-05:00,(C),2,,(A) Clear,0,,(B),1,,(B),1,,(B),1,,,,,(C),2,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(B),1,,(E) Very Difficult,4,,(E) Very heavy,4,,(E) Totally useless,4,,(A) Very useful,0,,(B),1,,(E) Not valuable at all,4,,(C),2,,(A) All classes attended,0,,,,,,,
479265,2018-11-21T10:03:13.903558-05:00,(C),2,,(C),2,,(C),2,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(C),2,,(D),3,,(D),3,,(C),2,,(B),1,,(C),2,,(D),3,,(C),2,,(A) All classes attended,0,,,,,,,
484301,2018-11-21T16:09:09.365400-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(C),2,,(C),2,,(B),1,,(B),1,,(A) Very closely,0,,(B),1,,(A) Excellent,0,,(A) All classes attended,0,,,,He is so patient,,,Nothing 
484291,2018-11-21T16:08:56.242312-05:00,(B),1,,(B),1,,(A) Excellent,0,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(B),1,,(C),2,,(D),3,,(D),3,,(D),3,,(B),1,,(D),3,,(C),2,,(C),2,,(A) All classes attended,0,,,,,,,
484380,2018-11-21T16:12:10.554797-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,,,,(D),3,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(B),1,,(E) Very Difficult,4,,(C),2,,(A) Very useful,0,,(D),3,,(B),1,,(C),2,,(B),1,,(A) All classes attended,0,,,,In explaining questions and examples. ,,,"The class pace is fast, and there is al lot of notes.  could there be like course notes selling at book store? More independent examples should be given."
475940,2018-11-20T14:19:52.580625-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(C),2,,(C),2,,(B),1,,(A) Very useful,0,,(A) Very closely,0,,(A) Very valuable,0,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
475967,2018-11-20T14:21:24.121372-05:00,(C),2,,(B),1,,(A) Excellent,0,,(A) Excellent,0,,,,,(C),2,,(C),2,,(B),1,,(B),1,,(B),1,,(C),2,,(D),3,,(D),3,,(C),2,,(A) Very closely,0,,(B),1,,(B),1,,(A) All classes attended,0,,,,,,,
484366,2018-11-21T16:11:45.138102-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,"I really enjoy the use of different colour markers, and the handwriting is very clear",,,,(C),2,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(B),1,Sometimes moves very fast though explanations and they can be hard to understand while also copying,,,,(D),3,,(E) Totally useless,4,,(A) Very useful,0,,(A) Very closely,0,,(D),3,TA for my section wasn't very helpful and didn't explain too well.,(A) Excellent,0,,(A) All classes attended,0,,,,The extra help at office hours is greatly appreciated and very helpful,,,
484394,2018-11-21T16:12:47.504169-05:00,(B),1,,(B),1,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(B),1,,(A) A great deal,0,,(B),1,,(A) Friendly & open,0,,(A) Very high,0,,(D),3,,(D),3,,(D),3,,(A) Very useful,0,,(B),1,,(D),3,,(B),1,,(A) All classes attended,0,,,,,,,
480770,2018-11-21T11:30:00.676602-05:00,(B),1,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(B),1,,(B),1,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(C),2,,(D),3,,(D),3,,(C),2,,(D),3,,(C),2,,(C),2,,(A) Excellent,0,,(A) All classes attended,0,,,,,,,
485697,2018-11-21T19:39:16.376798-05:00,(B),1,,(B),1,,(B),1,,(A) Excellent,0,,(B),1,,(B),1,,(C),2,,(B),1,,(B),1,,(B),1,,(D),3,,(D),3,,(C),2,,(A) Very useful,0,,(B),1,,(A) Very valuable,0,,(B),1,,(A) All classes attended,0,,,,,,,
484384,2018-11-21T16:12:24.991589-05:00,(A) Organized,0,,(A) Clear,0,,(A) Excellent,0,,(A) Excellent,0,,(A) Volunteering assistance with pleasure,0,,(C),2,,(A) A great deal,0,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(E) Very Difficult,4,,(D),3,,(B),1,,(A) Very useful,0,,(B),1,,(C),2,,(A) Excellent,0,,(A) All classes attended,0,,,,"Professor did a very good job teaching this semester. I enjoyed the teaching style and layout of the concepts. Prof was very good at staying behind after the lecture to answer questions, and was able to answer them clearly. ",,,"Sometimes the pace of the class was a bit fast, and the content could be a bit dry at times, so if there is a way to make the content more interesting that would be helpful I think. "
484437,2018-11-21T16:15:16.340757-05:00,(D),3,,(B),1,,(C),2,,(D),3,,(C),2,,(A) Far too high,0,,(C),2,,(C),2,,(B),1,,(C),2,,(D),3,,(E) Very heavy,4,,(E) Totally useless,4,,(A) Very useful,0,,(B),1,,(E) Not valuable at all,4,,(E) Poor,4,,(A) All classes attended,0,,,,,,,
481032,2018-11-21T11:43:38.112012-05:00,(A) Organized,0,,(B),1,,(B),1,,(B),1,,,,,(B),1,,(C),2,,(A) Obviously enthusiastic & responsible,0,,(A) Friendly & open,0,,(A) Very high,0,,(D),3,,(D),3,,(D),3,,(A) Very useful,0,,(B),1,,(D),3,,(B),1,,(A) All classes attended,0,,,,,,,
