Response ID,Response Time,Q1: Organization,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Questions,Q3 Select Index,Q3 Comment,Q4: Visual Presentation,Q4 Select Index,Q4 Comment,Q5: Oral Presentation,Q5 Select Index,Q5 Comment,Q6: Availability,Q6 Select Index,Q6 Comment,Q7: Ability to hold Interest,Q7 Select Index,Q7 Comment,Q8: Effectiveness,Q8 Select Index,Q8 Comment,Q9: Attendance,Q9 Select Index,Q9 Comment,Q10: Assigned Work,Q10 Select Index,Q10 Comment,Q11: Printed Notes,Q11 Select Index,Q11 Comment,Q12: Textbook,Q12 Select Index,Q12 Comment,Q13: New Material,Q13 Select Index,Q13 Comment,Q14: Assigned Work Amount,Q14 Select Index,Q14 Comment,Q15: Hours Per Week,Q15 Select Index,Q15 Comment,Q16: What instructor has done well,Q16 Select Index,Q16 Comment,Q17: Improvements to technique or style,Q17 Select Index,Q17 Comment,Q18: Course's strong points,Q18 Select Index,Q18 Comment,Q19: Course's weak points,Q19 Select Index,Q19 Comment,Q20: Class atmosphere,Q20 Select Index,Q20 Comment,Q21: Other Comments,Q21 Select Index,Q21 Comment
223759,2016-07-14T14:01:07-04:00,Excellent,0,,Too high,0,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,75-90%,1,,Very helpful,0,,No printed notes,3,,Very helpful,0,,Somewhat too much,1,,Somewhat too much,1,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
223771,2016-07-18T18:56:49-04:00,Excellent,0,,Somewhat too high,1,,Excellent,0,,Good,1,,Satisfactory,2,,Usually available,1,,Not interesting,2,,Good,1,,90-100%,0,,Helpful,1,,No printed notes,3,,Very helpful,0,,Somewhat too much,1,,Somewhat too much,1,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
223768,2016-07-18T09:59:52-04:00,Excellent,0,,Just Right,2,,Good,1,,Good,1,,Good,1,,Did not seek help,5,,Interesting,1,,Good,1,,75-90%,1,,Helpful,1,,No printed notes,3,,Helpful,1,,Right amount,2,,Somewhat too much,1,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
223767,2016-07-18T09:41:11-04:00,Excellent,0,,Somewhat too high,1,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Interesting,1,,Excellent,0,,25-50%,3,,Very helpful,0,,Very helpful,0,,Very helpful,0,,Somewhat too much,1,,Somewhat too much,1,,3-6 hours,1,,,,,,,,,,,,,,,,,,,
223782,2016-07-24T14:52:21-04:00,Excellent,0,,Somewhat too low,3,Giving some intuition on certain concepts would be very helpful.,Good,1,,Excellent,0,,Excellent,0,,Did not seek help,5,,Very interesting,0,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,,4,,Right amount,2,,Right amount,2,,3-6 hours,1,,,,,,,,,,,,,,,,,,,
223785,2016-07-25T06:35:40-04:00,Satisfactory,2,,Somewhat too high,1,,Satisfactory,2,,Satisfactory,2,,Satisfactory,2,,Usually available,1,,Not interesting,2,,Good,1,,75-90%,1,,Very helpful,0,,Helpful,1,,Helpful,1,,Right amount,2,,Right amount,2,,7-10 hours,2,,,,,,,,,,,,,,,,,,,
223762,2016-07-15T17:43:04-04:00,Excellent,0,,Somewhat too high,1,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Interesting,1,,Excellent,0,,50-75%,2,,Helpful,1,,Very helpful,0,,Very helpful,0,,Right amount,2,,Right amount,2,,3-6 hours,1,,,,,,,,,,,,,,,,,,,
223765,2016-07-17T14:14:43-04:00,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Usually available,1,,Interesting,1,,Excellent,0,,90-100%,0,,Helpful,1,,Very helpful,0,,Very helpful,0,,Right amount,2,,Right amount,2,,3-6 hours,1,,,,"Mukto's board notes are extremely organized and concise, he is also great at explaining concepts.",,,Can't think of much - he was a great instructor.,,,"Assignments and midterms were very fair and this course, while definitely not easy, was not extremely challenging, which allows students to actually want to learn and understand concepts.",,,,,,Atmosphere was great.,,,
223757,2016-07-14T11:08:49-04:00,Good,1,,Somewhat too high,1,,Excellent,0,,Excellent,0,,Good,1,,Available,0,,Not interesting,2,,Excellent,0,,90-100%,0,,Helpful,1,,Helpful,1,,,4,,No opinion,5,,Right amount,2,,3-6 hours,1,,,,Prefer his lecture.,,,,,,,,,Pls come back.,,,,,,
223763,2016-07-16T08:38:24-04:00,Excellent,0,,Just Right,2,,Excellent,0,,Excellent,0,,Excellent,0,,Available,0,,Very interesting,0,,Excellent,0,,90-100%,0,,Very helpful,0,,No printed notes,3,,Very helpful,0,,Somewhat too much,1,,Right amount,2,,7-10 hours,2,,,,"Great coherence of lectures, made it easy to understand challenging concepts.",,,,,,,,,,,,,,,
223756,2016-07-13T20:28:02-04:00,Excellent,0,,Just Right,2,,Good,1,,Excellent,0,,Good,1,,Available,0,,Interesting,1,,Excellent,0,,90-100%,0,,Very helpful,0,,Very helpful,0,,Very helpful,0,,Right amount,2,,Right amount,2,,3-6 hours,1,,,,,,,,,,,,,,,,,,,
